"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"AT","EG","Eurocontrol","Middle East","Austria","Egypt","outbound",0,0,0,0,0,0,0,1862,1835,1995,0,0,0,0,0
"AT","RU","Eurocontrol","Asia","Austria","Russian Federation","outbound",0,1914,2150,2539,2864,3413,4475,5413,4767,5120,5601,5558,6040,5820,4180
"AZ","AZ","Asia","Asia","Azerbaijan","Azerbaijan","overflying",0,0,0,0,0,0,2883,4324,4485,2451,3658,3593,3002,2169,0
"AZ","TR","Asia","Eurocontrol","Azerbaijan","Turkey","inbound",0,0,0,0,0,0,0,1879,2090,2458,3099,3610,4461,4312,4424
"BE","EG","Eurocontrol","Middle East","Belgium","Egypt","outbound",0,0,0,0,0,0,0,1946,0,0,0,0,0,0,0
"BE","MA","Eurocontrol","Africa","Belgium","Morocco","outbound",0,0,0,1908,2314,2520,2954,3036,3290,3847,4341,4175,4541,4615,4390
"BE","US","Eurocontrol","America","Belgium","United States","outbound",4759,3345,3521,3486,3324,3085,3448,4014,4025,4277,4441,3944,3767,3898,4117
"BG","RU","Eurocontrol","Asia","Bulgaria","Russian Federation","outbound",0,0,0,0,0,0,1843,2178,2130,2798,3242,3609,3978,4169,3249
"BR","ES","America","Eurocontrol","Brazil","Spain","inbound",0,0,0,0,0,1966,1929,2073,0,0,2039,1916,1905,2142,2201
"BR","FR","America","Eurocontrol","Brazil","France","inbound",0,0,0,0,0,1844,2341,2761,2414,2374,2395,2099,1954,1868,1880
